"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval"
"NCOA4","lightyellow",0.647792789443048,0.0428353755814393,0.808402900778169,0.00464541607696462,30.1307006273361,5.09211469095767,NA,NA
"ENAH","magenta",-0.647428268156976,0.0429914398388006,0.715045023595557,0.0201055715967527,21.339181777351,5.47569100012239,NA,NA
"FAM78A","lightyellow",0.645663234474681,0.0437525073361088,0.915320892869664,0.000202887137258738,84.1407357138642,14.4886216712094,NA,NA
"TPST2","pink",0.645574220746255,0.0437911266905084,0.735941026821212,0.0152442352293137,26.3744479229706,12.9251656911517,NA,NA
"PIK3CD","pink",0.64478300771374,0.0441354054576079,0.739155452531253,0.0145773980356959,34.050591863067,12.7042498654537,NA,NA
"SNX7","magenta",-0.644206951941028,0.0443872007337026,0.805936262227493,0.00487375987075164,28.1311981552033,8.42616955641103,NA,NA
"NET1","greenyellow",-0.643272476451881,0.0447977049793478,0.835601814568513,0.0026074305638907,29.1758484235903,7.74006302894883,NA,NA
"LRRFIP2","greenyellow",-0.643044708061847,0.0448981447493634,0.848704528223793,0.0019018363621057,77.2613362343616,12.213047524036,NA,NA
"JAML","pink",0.642256709950153,0.0452467933268232,0.929026267820847,0.00010183373678088,86.0881325341497,64.7917090205753,NA,NA
"MRPL33","magenta",-0.640660195703858,0.045958711129856,0.938264020876154,5.89642050196326e-05,60.7379418907293,20.3608722417547,NA,NA
"KLHL6","pink",0.64032315049341,0.0461099575874652,0.880578515978353,0.000768550656036326,101.238753061228,47.1972794801656,NA,NA
"CEP104","pink",0.638600981719316,0.0468879614425882,0.752920892029464,0.011950814796038,35.8823993409514,12.2241078703933,NA,NA
"VASH1","cyan",0.638599578643252,0.0468885988421877,0.824075582549019,0.00336919301819259,37.0036216145673,7.47557821269347,NA,NA
"CTSB","cyan",0.638269766441156,0.0470385889219938,0.963871170698703,7.13574399196991e-06,64.9505178959427,18.6640197413798,NA,NA
"DOK3","pink",0.637979434964314,0.0471708890273544,0.911569642474569,0.000240179623793946,100.878923744871,59.9784419143417,NA,NA
"MYD88","darkred",0.637975083731318,0.0471728737122309,0.875106637200896,0.000913093928755523,54.1364230846768,7.50934441646216,NA,NA
"PHLDB2","greenyellow",-0.63717097062397,0.0475406036368329,0.886223311442066,0.000637717393980731,107.971617541267,15.6347667952808,NA,NA
"TUBGCP2","darkred",0.637079968501959,0.0475823400323732,0.942931585086303,4.33016912781499e-05,60.4714606324439,9.30167054554014,NA,NA
"POGLUT1","greenyellow",-0.636597701611633,0.0478039307402248,0.809933434288144,0.0045076364416175,31.2015310445286,7.44904986982642,NA,NA
"FCGR2C","pink",0.635816250730055,0.048164449409021,0.738050396635098,0.0148042992432563,41.779967813841,17.1972674352898,NA,NA
"ANGEL1","brown",0.635468446778459,0.0483254885080638,0.738954068676822,0.0146185661196719,102.992283285454,77.3890223738648,NA,NA
"CTC1","brown",0.634476616347549,0.0487866933061965,0.707559168329617,0.02208044179777,100.402661321926,67.6959697737558,NA,NA
"MAN2B1","pink",0.633370558095589,0.0493044633315659,0.838982936012986,0.00240982363896331,55.0204394139983,28.5348046161922,NA,NA
