"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval"
"CFL1","turquoise",0.143194856038089,0.693105505783414,0.953692479657126,1.90214619479352e-05,872.256722860697,628.171268205116,NA,NA
"CARF","blue",-0.1431572879196,0.693182735002269,0.932711853305772,8.26467775578947e-05,393.948708123144,290.084443001891,NA,NA
"PYURF","blue",0.143122059285656,0.69325515722706,-0.787527742655639,0.00683812861905273,411.866807935944,23.4607069849509,NA,NA
"MPV17L","blue",0.143085627256857,0.693330055716312,0.675515908349531,0.0320506844169719,150.962363406474,86.1126816106111,NA,NA
"ZNF160","turquoise",-0.143072074724495,0.693357918189772,-0.76939736177584,0.00926639886300703,283.514400906842,86.159617278412,NA,NA
"NAMA","blue",-0.143045042319353,0.693413494745132,0.918782780107176,0.000172425884165529,340.19542764798,256.917298813161,NA,NA
"IBTK","pink",-0.143004376905541,0.693497102202114,-0.863756704654859,0.00127469994257634,83.7640085644526,9.4564125333592,NA,NA
"ZBED5","lightgreen",-0.142991551359558,0.693523471942563,0.790350432394195,0.00650574920619776,26.1020027444922,4.66553903926099,NA,NA
"ENSG00000289968","blue",-0.142986811192602,0.693533217955249,0.950010717390094,2.57153377925905e-05,510.272010443663,360.689422232587,NA,NA
"JRK","green",0.142873324527054,0.693766564110083,-0.914468592431322,0.000210956776515655,110.13517023018,22.0061596781916,NA,NA
"ZFP30","turquoise",0.142851171289204,0.693812117301015,-0.950221255018135,2.52913580823116e-05,479.285344933733,195.836234745004,NA,NA
"SLC44A1","brown",0.142805370284868,0.693906299647289,0.893714308837223,0.000490209290500888,552.118526322314,268.323016765175,NA,NA
"LINC01821","blue",-0.142799689583715,0.693917981352047,0.731246964284189,0.0162557916379755,106.095405320259,82.3708449272059,NA,NA
"ZSWIM8","turquoise",-0.142797644899164,0.693922186023494,-0.774531580970539,0.00852537917495994,207.738220152713,59.7825346433777,NA,NA
"COL6A2","yellow",-0.142776921698574,0.69396480145643,0.903431244634504,0.000338133000602919,384.918589905209,76.1428233540699,NA,NA
"STAT3","green",-0.142764265858803,0.693990827453734,0.934620990257283,7.38320099837703e-05,137.592985728587,59.5178272932642,NA,NA
"LINC02078","blue",-0.142739456934837,0.694041846396432,0.870626240467375,0.00104542858203876,471.127411170962,256.460919733246,NA,NA
"DGKE","grey",0.142722871512802,0.694075954526597,0.560617758953076,0.0918372687661032,40.4071167177639,1.33261764547655,NA,NA
"RIC8B","green",0.142720066906178,0.694081722284471,-0.81538509766281,0.00404056137542129,32.7400676394918,10.1050661803411,NA,NA
"BBS2","lightgreen",0.142710694286167,0.694100997461997,0.880660778975006,0.000766514298146927,18.2133329650761,6.14073006409714,NA,NA
"SEC61A1","black",-0.142627135905457,0.694272845677639,0.940025376343216,5.26312930615046e-05,98.3072844379109,46.5447521054102,NA,NA
"HAGH","midnightblue",0.142594252070493,0.694340478819352,-0.873754613452267,0.000951659680760966,40.2766910012391,4.29922525103001,NA,NA
"FOLR2","blue",0.142570260903841,0.694389823376477,0.922271768035755,0.000145277318188453,554.268509636409,290.287710013802,NA,NA
"MARK4","turquoise",-0.142558413091356,0.694414192104195,0.759633404431457,0.0107990846865063,197.305260204358,158.755560016653,NA,NA
"NMT2","brown",0.14253910405899,0.694453907701711,-0.846020913100148,0.00203345946926937,83.6223813707928,25.8712208384335,NA,NA
"ZNF136","turquoise",-0.14252870767827,0.694475291674678,-0.788604138707372,0.00670999152700105,222.825111268519,73.2696495342772,NA,NA
"GRIK5","blue",-0.142441947978667,0.694653752408176,0.944970319735568,3.75313604737074e-05,533.179698771008,331.085498245169,NA,NA
"ENSG00000251417","turquoise",0.142414701569167,0.694709799813579,-0.74661517955316,0.0131087727510702,148.919865614002,51.1481105871458,NA,NA
"INTS6L","blue",-0.142323791666444,0.694896816259997,0.944008103222602,4.01786383152533e-05,423.997820728684,297.482800827265,NA,NA
"POLR2K","turquoise",-0.142303269535222,0.69493903567014,0.957882583263516,1.30829081116547e-05,688.737867443079,596.514698042791,NA,NA
"ENSG00000285756","purple",0.142301874738254,0.694941905160986,-0.804333541915865,0.00502635547540118,32.2359902138818,1.77574112954244,NA,NA
"HAP1","grey60",-0.142244249381787,0.695060459824148,0.898121910969279,0.000416095696400061,39.760932337485,12.4376211581095,NA,NA
"LRIF1","green",0.142228654234595,0.695092545289727,-0.751363329853185,0.0122298842035084,52.546683077179,6.8351117549185,NA,NA
"OS9","grey",0.142225114653415,0.695099827686944,-0.32427221658041,0.36065581734075,16.4090577782183,1.69765308031406,NA,NA
"ALDOA","turquoise",0.142193950781205,0.695163945760345,0.940124068118662,5.22920469878864e-05,731.149485169193,540.075035714494,NA,NA
"PIP5K1A","turquoise",-0.142115841804245,0.695324658631072,0.844375461006047,0.00211734745292457,522.207896254698,284.378493836567,NA,NA
"NPRL2","brown",0.142114898047854,0.695326600520765,0.921572829130114,0.00015044366393088,291.421125658887,243.010983645569,NA,NA
"BICD1","turquoise",-0.142072161076033,0.695414538534359,-0.647522395093679,0.0429511043532407,106.778198742579,31.8346846356735,NA,NA
